Module,Method,Endpoint Path,Base URL,Description,Authentication,Role Required,API Scope,Parameters,Query Parameters,Body Parameters,Notes
Posts,PATCH,/post/updatePostStatus/:id,/post,Update post status,required,,write:posts,id,,status,
Posts,DELETE,/post/deletePost/:id,/post,Delete post,required,,delete:posts,id,,,"Permanent deletion"
Posts,POST,/post/generate-job-post,/post,Generate job post using AI,required,Company,,,,,AI-generated content
Job Applications,GET,/job-applications/post/:postId,/job-applications,Get applications for post,public,,,postId,,,
Job Applications,POST,/job-applications,/job-applications,Create new application,required,,,,,application data,
Job Applications,GET,/job-applications,/job-applications,Get all applications,required,,,,,,"Admin/global view"
Job Applications,GET,/job-applications/candidate/my,/job-applications,Get applications for candidate,required,,,,,,"Candidate-specific"
Job Applications,GET,/job-applications/candidate/my/stats,/job-applications,Get candidate dashboard stats,required,,,,,,"Dashboard data"
Job Applications,GET,/job-applications/company/my,/job-applications,Get company applications,required,,,,,page;limit;post;status;search;skills,"Company applications"
Job Applications,POST,/job-applications/contact-candidate,/job-applications,Send direct email to candidate,required,,,,,candidate;message,
Job Applications,GET,/job-applications/post/:postId/summary,/job-applications,Get flat summary for post,required,,,postId,status;search;matchScoreMin;matchScoreMax;dateFrom;dateTo;sort;page;limit,,
Job Applications,GET,/job-applications/company/my/summary,/job-applications,Get flat summary for company,required,,,,,page;limit;sort,
Job Applications,GET,/job-applications/company/my/metrics,/job-applications,Get application metrics,required,,,,,,"Analytics data"
Job Applications,GET,/job-applications/company/my/cvs/download,/job-applications,Download matching CVs as ZIP,required,,,,,,"File download"
Job Applications,POST,/job-applications/auto-invite/trigger,/job-applications,Trigger auto-invite (nudge #1),required,,,,,,"Bypass time window"
Job Applications,POST,/job-applications/reminder/trigger,/job-applications,Trigger reminder (nudge #2/#3),required,,,,,,"Bypass time window"
Job Applications,GET,/job-applications/:applicationId,/job-applications,Get application by ID,required,,,applicationId,,,
Job Applications,PATCH,/job-applications/:applicationId,/job-applications,Update application,required,,,applicationId,,update data,
Job Applications,POST,/job-applications/:applicationId/withdraw,/job-applications,Withdraw application,required,,,applicationId,,,
Job Applications,POST,/job-applications/:applicationId/archive,/job-applications,Archive application,required,,,applicationId,,,
Job Applications,POST,/job-applications/:applicationId/invite-to-interview,/job-applications,Send interview invitation email,required,,,applicationId,,,,
Skill Assessments,POST,/skill-interview-assessments,/skill-interview-assessments,Create new assessment,required,,,,,assessment data,
Skill Assessments,GET,/skill-interview-assessments/my,/skill-interview-assessments,Get current user assessments,required,,,,,,"User-specific"
Skill Assessments,GET,/skill-interview-assessments/:id,/skill-interview-assessments,Get assessment by ID,required,,,id,,,
Skill Assessments,GET,/skill-interview-assessments,/skill-interview-assessments,Get all assessments,required,,,,,page;limit;interviewType;candidateId;interviewerId,,
Post Assessments,GET,/post-interview-assessments/post/:postId,/post-interview-assessments,Get assessments for post,public,,,postId,,,
Post Assessments,GET,/post-interview-assessments/post/:postId/candidate/:candidateUserId,/post-interview-assessments,Get assessment for candidate,public,,,postId;candidateUserId,,,
Post Assessments,GET,/post-interview-assessments/check/:postId,/post-interview-assessments,Check if candidate has assessment,required,,,postId,,,
Post Assessments,GET,/post-interview-assessments/matching/:postId,/post-interview-assessments,Get matching details,required,,,postId,,,
Post Assessments,GET,/post-interview-assessments,/post-interview-assessments,Get all assessments,required,,,,,,"All assessments"
Post Assessments,GET,/post-interview-assessments/company/mine,/post-interview-assessments,Get company assessments,required,,,,,,"Company-specific"
Post Assessments,GET,/post-interview-assessments/company/mine/metrics,/post-interview-assessments,Get interview metrics,required,,,,,,"Analytics data"
Post Assessments,GET,/post-interview-assessments/candidate/my,/post-interview-assessments,Get candidate assessments,required,,,,,,"Candidate-specific"
Post Assessments,POST,/post-interview-assessments,/post-interview-assessments,Create new assessment,required,,,,,assessment data,
Post Assessments,GET,/post-interview-assessments/:assessmentId,/post-interview-assessments,Get assessment by ID,required,,,assessmentId,,,
Chat,POST,/chat/conversations,/chat,Find or create conversation,required,,,,,participant data,
Chat,GET,/chat/conversations,/chat,Get user conversations,required,,,,,,"User-specific"
Chat,GET,/chat/conversations/search,/chat,Search conversations,required,,,,,search term,
Chat,GET,/chat/conversations/unread-count,/chat,Get total unread count,required,,,,,,"Count only"
Chat,GET,/chat/conversations/:conversationId,/chat,Get conversation by ID,required,,,conversationId,,,
Chat,PUT,/chat/conversations/:conversationId/read,/chat,Mark conversation as read,required,,,conversationId,,,
Chat,PUT,/chat/conversations/:conversationId/archive,/chat,Archive conversation,required,,,conversationId,,,
Chat,PUT,/chat/conversations/:conversationId/unarchive,/chat,Unarchive conversation,required,,,conversationId,,,
Chat,PUT,/chat/conversations/:conversationId/block,/chat,Block conversation,required,,,conversationId,,,
Chat,PUT,/chat/conversations/:conversationId/unblock,/chat,Unblock conversation,required,,,conversationId,,,
Chat,DELETE,/chat/conversations/:conversationId,/chat,Delete conversation,required,,,conversationId,,,
Chat,GET,/chat/unread-count,/chat,Get total unread count,required,,,,,,"Count only"
Chat,POST,/chat/messages,/chat,Send message,required,,,,,message data,
Chat,GET,/chat/messages/:conversationId,/chat,Get conversation messages,required,,,conversationId,,,
Chat,GET,/chat/messages/:conversationId/unread,/chat,Get unread messages,required,,,conversationId,,,
Chat,GET,/chat/messages/:conversationId/search,/chat,Search messages in conversation,required,,,conversationId,search term,,
Chat,GET,/chat/messages/single/:messageId,/chat,Get message by ID,required,,,messageId,,,
Chat,PUT,/chat/messages/:messageId/read,/chat,Mark message as read,required,,,messageId,,,
Chat,PUT,/chat/messages/:conversationId/read-all,/chat,Mark all messages as read,required,,,conversationId,,,
Chat,DELETE,/chat/messages/:messageId,/chat,Delete message,required,,,messageId,,,
Chat,POST,/chat/messages/:messageId/reaction,/chat,Add reaction to message,required,,,messageId,,reaction data,
Chat,DELETE,/chat/messages/:messageId/reaction,/chat,Remove reaction from message,required,,,messageId,,reaction data,
Post Steps,POST,/post-steps/post/:postId/steps,/post-steps,Add steps to post,required,,,postId,,steps data,
Post Steps,PUT,/post-steps/node/:nodeId/submit-task,/post-steps,Submit task with GitHub link,required,,,nodeId,,githubLink,"Node ID needed"
Candidate Progress,GET,/candidate-progress/getUserProgress,/candidate-progress,Get current user progress,required,,,,,,"User-specific"
Candidate Progress,POST,/candidate-progress,/candidate-progress,Create progress record,required,,,,,progress data,
Candidate Progress,GET,/candidate-progress,/candidate-progress,Get all progress records,required,,,,,,"All records"
Candidate Progress,GET,/candidate-progress/:id,/candidate-progress,Get progress by ID,required,,,id,,,
Candidate Progress,PUT,/candidate-progress/:id,/candidate-progress,Update progress,required,,,id,,update data,
Candidate Progress,DELETE,/candidate-progress/:id,/candidate-progress,Delete progress,required,,,id,,,
Candidate Progress,GET,/candidate-progress/candidate/:candidateId,/candidate-progress,Get progress by candidate,required,,,candidateId,,,
Candidate Progress,GET,/candidate-progress/post/:postId,/candidate-progress,Get progress by post,required,,,postId,,,
Candidate Progress,GET,/candidate-progress/status/:status,/candidate-progress,Get progress by status,required,,,status,,,
Pipeline Interview,GET,/api/pipeline-interview/params/:jobId/:stepNumber,/api/pipeline-interview,Get interview parameters,optional,,,jobId;stepNumber,,,
Pipeline Interview,GET,/api/pipeline-interview/steps/:jobId,/api/pipeline-interview,Get interview steps,optional,,,jobId,,,
Pipeline Interview,POST,/api/pipeline-interview/progress/initialize,/api/pipeline-interview,Initialize candidate progress,optional,,,,,initialization data,"To be verified"
Pipeline Interview,GET,/api/pipeline-interview/progress/:candidateId/:jobId,/api/pipeline-interview,Get candidate progress,optional,,,candidateId;jobId,,,
Pipeline Interview,PUT,/api/pipeline-interview/progress/update-step,/api/pipeline-interview,Update step after interview,optional,,,,,step data,
Pipeline Interview,POST,/api/pipeline-interview/progress/next-step,/api/pipeline-interview,Move to next step,optional,,,,,,"Next step data"
Company Invitations,GET,/company-invitations/details/:invitationId,/company-invitations,Get invitation details,public,,,invitationId,,,
Company Invitations,POST,/company-invitations/respondInvitation/:invitationId,/company-invitations,Accept or reject invitation,public,,,invitationId,,response data,
Company Invitations,POST,/company-invitations/sentInvitation,/company-invitations,Send employee invitation,required,,,,,invitation data,
Company Invitations,POST,/company-invitations/resendInvitation/:invitationId,/company-invitations,Resend invitation,required,,,invitationId,,,
Company Invitations,DELETE,/company-invitations/deleteInvitation/:invitationId,/company-invitations,Delete/revoke invitation,required,,,invitationId,,,
Company Invitations,GET,/company-invitations/myInvitations,/company-invitations,Get company invitations,required,,,,,,"Company-specific"
Company Memberships,GET,/company-memberships/memberships/stats,/company-memberships,Get membership statistics,required,,,,,,"Stats only"
Company Memberships,GET,/company-memberships/memberships,/company-memberships,Get company memberships,required,,,,,,"Company-specific"
Company Memberships,GET,/company-memberships/user/:userId,/company-memberships,Get membership by user ID,required,,,userId,,,
Company Memberships,DELETE,/company-memberships/:membershipId,/company-memberships,Delete membership,required,,,membershipId,,,
Company Memberships,PATCH,/company-memberships/:membershipId,/company-memberships,Update membership,required,,,membershipId,,update data,
Company Memberships,PATCH,/company-memberships/:membershipId/role,/company-memberships,Update membership role,required,,,membershipId,,role data,
Company Memberships,PATCH,/company-memberships/:membershipId/department,/company-memberships,Update membership department,required,,,membershipId,,department data,
Dashboard,GET,/dashboard/getAllUsers,/dashboard,Get all users,required,,,,,,"All users"
Dashboard,GET,/dashboard/getCounts,/dashboard,Get global counters,required,,,,,,"Global counters"
Dashboard,GET,/dashboard/statsCards,/dashboard,Get dashboard statistics,required,,,,,,"Dashboard cards"
Dashboard,GET,/dashboard/richStats,/dashboard,Get rich statistics,required,,,,,,"Detailed stats"
Dashboard,GET,/dashboard/getUserCountsByDay,/dashboard,Get daily user count,required,,,,,,"Daily evolution"
Dashboard,GET,/dashboard/getUserCountsByLocation,/dashboard,Get stats by location,required,,,,,,"Location stats"
Dashboard,GET,/dashboard/job-assessment-results-grouped,/dashboard,Get assessment results grouped,required,,,,,,"Grouped by job"
Dashboard,POST,/dashboard/getJobAssessmentsBySkill,/dashboard,Get assessments by skill,required,,,,,skill,"Skill-specific"
Dashboard,GET,/dashboard/downloadUserExcel,/dashboard,Download users Excel,required,,,,,,"File download"
Dashboard,GET,/dashboard/download-users-with-assessment-zero,/dashboard,Download without assessment,required,,,,,,"File download"
Dashboard,GET,/dashboard/download-users-with-assessment-Above50,/dashboard,Download score > 50,required,,,,,,"File download"
Plan Limits,POST,/plan-limits,/plan-limits,Create new plan,required,Admin,,,,,
Plan Limits,GET,/plan-limits,/plan-limits,Get all plans,public,,,,,,"Public access"
Plan Limits,GET,/plan-limits/:id,/plan-limits,Get plan by ID,public,,,id,,,
Plan Limits,PUT,/plan-limits,/plan-limits,Update plan,required,Admin,,,,,
Subscriptions,GET,/subscriptions/active,/subscriptions,Get active subscription,required,,,,,,"Company-specific"
Subscriptions,GET,/subscriptions/combined,/subscriptions,Get combined active details,required,,,,,,"Detailed info"
Subscriptions,GET,/subscriptions,/subscriptions,Get company subscriptions,required,,,,,,"All subscriptions"
Subscriptions,GET,/subscriptions/:subscriptionId/details,/subscriptions,Get subscription details,required,,,subscriptionId,,,
Subscriptions,GET,/subscriptions/:companyProfileId/check-limit/:limitType,/subscriptions,Check subscription limit,required,,,companyProfileId;limitType,limitType (posts or monthlyInterviews),,
CV Analysis,POST,/cv-analysis,/cv-analysis,Create CV analysis,optional,,,,,analysis data,
CV Analysis,GET,/cv-analysis,/cv-analysis,Get all CV analyses,optional,,,,,page;limit;filters,"Pagination supported"
CV Analysis,GET,/cv-analysis/stats,/cv-analysis,Get CV analysis statistics,optional,,,,,,"Stats only"
CV Analysis,GET,/cv-analysis/search,/cv-analysis,Search CV analyses,optional,,,,,search,"Search supported"
CV Analysis,GET,/cv-analysis/:id,/cv-analysis,Get CV analysis by ID,optional,,,id,,,
CV Analysis,PUT,/cv-analysis/:id,/cv-analysis,Update CV analysis,optional,,,id,,update data,
CV Analysis,DELETE,/cv-analysis/:id,/cv-analysis,Delete CV analysis,optional,,,id,,,
CV Analysis,GET,/cv-analysis/user/:userId,/cv-analysis,Get analyses for user,optional,,,userId,,,
CV Analysis,GET,/cv-analysis/company/:companyId,/cv-analysis,Get analyses for company,optional,,,companyId,,,
CV Analysis,GET,/cv-analysis/seniority/:seniority,/cv-analysis,Get analyses by seniority,optional,,,seniority,,,
Departments,POST,/departments,/departments,Create department,required,Company/Employee,,,,,
Departments,GET,/departments,/departments,Get company departments,required,,,,,search;page;limit,"Filtering supported"
Departments,GET,/departments/stats,/departments,Get department statistics,required,,,,,,"Stats only"
Departments,GET,/departments/:id,/departments,Get department by ID,required,,,id,,,
Departments,PUT,/departments/:id,/departments,Update department,required,,,id,,update data,
Departments,DELETE,/departments/:id,/departments,Delete department,required,,,id,,,
Contact,POST,/contact,/contact,Submit contact form,public,,,,,form data,
Contact,POST,/contact/enterprise,/contact,Submit enterprise inquiry,public,,,,,form data,
Contact,GET,/contact/status,/contact,Check service status,required,,,,,,"Service check"
API Keys,POST,/api/api-keys,/api/api-keys,Create new API key,required,,,,,name;serviceName;scopes;rateLimit;expiresAt;ipWhitelist,
API Keys,GET,/api/api-keys,/api/api-keys,List API keys,required,,,,,,"List only"
API Keys,GET,/api/api-keys/:id,/api/api-keys,Get API key details,required,,,id,,,
API Keys,PUT,/api/api-keys/:id,/api/api-keys,Update API key,required,,,id,,update data,
API Keys,PATCH,/api/api-keys/:id/toggle,/api/api-keys,Toggle API key status,required,,,id,,,
API Keys,POST,/api/api-keys/:id/regenerate,/api/api-keys,Regenerate API key,required,,,id,,,
API Keys,DELETE,/api/api-keys/:id,/api/api-keys,Delete API key,required,,,id,,,
Campaign Participants,POST,/campaign-participants/:campaignId/participants,/campaign-participants,Add participant,required,Company,,,campaignId,,participant data,
Campaign Participants,GET,/campaign-participants/:campaignId/participants,/campaign-participants,Get campaign participants,required,Company,,,campaignId,status,"Filtering supported"
Campaign Participants,GET,/campaign-participants/:participantId,/campaign-participants,Get participant by ID,required,Company,,,participantId,,,
Campaign Participants,GET,/campaign-participants/token/:token,/campaign-participants,Get participant by token,public,,,token,,"Anonymous access"
Campaign Participants,PUT,/campaign-participants/:participantId,/campaign-participants,Update participant,required,Company,,,participantId,,update data,
Campaign Participants,DELETE,/campaign-participants/:participantId,/campaign-participants,Delete participant,required,Company,,,participantId,,,
Campaign Participants,PATCH,/campaign-participants/:participantId/drop,/campaign-participants,Mark as dropped,required,Company,,,participantId,,reason (optional),"Drop status"
Stripe,POST,/stripe/create-checkout-session,/stripe,Create payment session,required,,,,,payment data,
Todo,POST,/todo/profile,/todo,Generate profile todo list,required,Candidate,,,,,
Todo,GET,/todo/profile,/todo,Get profile todo list,required,Candidate,,,,"Todo items"
Feedback,POST,/feedback/addFeedback,/feedback,Add feedback,required,,,,,feedback data,
Feedback,GET,/feedback/getAllFeedback,/feedback,Get all feedback,required,Admin,,,,"Admin only"
Task,POST,/task/send-task,/task,Send technical test,required,,,,,task data,
Task,GET,/task/test-email,/task,Test email config,required,,,,,,"Config check"
Backup,POST,/admin/backups/perform,/admin/backups,Trigger database backup,required,Admin,,,,,
Backup,GET,/admin/backups/list,/admin/backups,List available backups,required,Admin,,,,,
Backup,POST,/admin/backups/restore/:backupName,/admin/backups,Restore from backup,required,Admin,,,backupName,,⚠️ Overwrites current DB
Backup,DELETE,/admin/backups/delete/:backupName,/admin/backups,Delete specific backup,required,Admin,,,backupName,,,
Backup,GET,/admin/backups/info,/admin/backups,Get backup info,required,Admin,,,,,
Admin Permissions,GET,/admin/companies/:companyId/permissions,/admin,Get company permissions,required,Admin,,,companyId,,,
Admin Permissions,POST,/admin/companies/:companyId/permissions,/admin,Update company permissions,required,Admin,,,companyId,,permissions data,
Employee Permissions,GET,/employee-permissions/available,/employee-permissions,Get available permissions,required,,,,,,"Permissions list"
Employee Permissions,GET,/employee-permissions/:userId,/employee-permissions,Get user permissions,required,,,userId,,,
Employee Permissions,PUT,/employee-permissions/:userId,/employee-permissions,Update user permissions,required,,,userId,,permissions data,
Permissions,NOTE,/permissions,/permissions,General permissions management,required,,,,,See permissions.routes.js,
Notifications,NOTE,/notification-system,/notification-system,Notification system,required,,,,,See notificationSystem.routes.js,
Logs,NOTE,/logs,/logs,System logging,required,,,,,See log.routes.js,
Internal Campaigns,NOTE,/internal-campaigns,/internal-campaigns,Internal campaigns,required,,,,,See internalCampaign.routes.js,
Payments,NOTE,/payments,/payments,Payment management,required,,,,,See payment.routes.js,
